date,coin,open,high,low,close,volume,market_cap,source
2025-04-30,ETH,1796.9720456768928,1796.9720456768928,1796.9720456768928,1796.9720456768928,13994558644.11867,216596941729.71945,API
2025-05-01,ETH,1794.0495408617828,1794.0495408617828,1794.0495408617828,1794.0495408617828,13644627083.285889,216623334477.08453,API
2025-05-02,ETH,1838.8543285925753,1838.8543285925753,1838.8543285925753,1838.8543285925753,14310565589.052694,221969602979.55032,API
2025-05-03,ETH,1841.427590836958,1841.427590836958,1841.427590836958,1841.427590836958,11686301446.49476,222269022299.2824,API
2025-05-04,ETH,1834.501911876416,1834.501911876416,1834.501911876416,1834.501911876416,6704990478.824657,221494950784.02625,API
2025-05-05,ETH,1808.156093844096,1808.156093844096,1808.156093844096,1808.156093844096,7479845748.828526,218216268630.8664,API
2025-05-06,ETH,1820.0044598893596,1820.0044598893596,1820.0044598893596,1820.0044598893596,10545233503.347864,219769896301.20087,API
2025-05-07,ETH,1816.1686943818438,1816.1686943818438,1816.1686943818438,1816.1686943818438,11950393736.527246,219305875804.55966,API
2025-05-08,ETH,1810.3169269284476,1810.3169269284476,1810.3169269284476,1810.3169269284476,47111217119.49919,218569578701.42172,API
2025-05-09,ETH,2197.5611893238784,2197.5611893238784,2197.5611893238784,2197.5611893238784,35992825075.05399,264994998215.9445,API
2025-05-10,ETH,2341.407963002621,2341.407963002621,2341.407963002621,2341.407963002621,44566779461.54657,282636716534.08844,API
2025-05-11,ETH,2583.6829051429513,2583.6829051429513,2583.6829051429513,2583.6829051429513,29947910159.02891,312095621694.1442,API
2025-05-12,ETH,2507.4693107597423,2507.4693107597423,2507.4693107597423,2507.4693107597423,26138286410.23315,302727255563.5134,API
2025-05-13,ETH,2492.426391077375,2492.426391077375,2492.426391077375,2492.426391077375,31524626114.978752,300976824863.0343,API
2025-05-14,ETH,2676.639163127913,2676.639163127913,2676.639163127913,2676.639163127913,32279895881.637806,322977150438.36176,API
2025-05-15,ETH,2603.7180887199615,2603.7180887199615,2603.7180887199615,2603.7180887199615,28150234190.931705,314022060127.0501,API
2025-05-16,ETH,2542.296692466797,2542.296692466797,2542.296692466797,2542.296692466797,26211434557.7159,306933361055.9317,API
2025-05-17,ETH,2544.3870377235667,2544.3870377235667,2544.3870377235667,2544.3870377235667,21130441534.96637,307619694635.7725,API
2025-05-18,ETH,2475.0543933696913,2475.0543933696913,2475.0543933696913,2475.0543933696913,17185510890.702347,298789831687.0011,API
2025-05-19,ETH,2465.3409856139087,2465.3409856139087,2465.3409856139087,2465.3409856139087,24797434472.364086,296863390804.2497,API
2025-05-20,ETH,2526.989643891319,2526.989643891319,2526.989643891319,2526.989643891319,25363871274.82505,305077067863.0779,API
2025-05-21,ETH,2524.2743433146065,2524.2743433146065,2524.2743433146065,2524.2743433146065,22871462735.416794,304737250158.37354,API
2025-05-22,ETH,2558.9502343769486,2558.9502343769486,2558.9502343769486,2558.9502343769486,32697477527.54695,308934701949.7151,API
2025-05-23,ETH,2657.1674447566115,2657.1674447566115,2657.1674447566115,2657.1674447566115,29592612076.505535,320733890913.39886,API
2025-05-24,ETH,2519.813809045145,2519.813809045145,2519.813809045145,2519.813809045145,30047329191.503662,304038733414.03973,API
2025-05-25,ETH,2529.4429842284353,2529.4429842284353,2529.4429842284353,2529.4429842284353,10744994421.192684,305369227833.4215,API
2025-05-26,ETH,2546.6201163370915,2546.6201163370915,2546.6201163370915,2546.6201163370915,13814697849.726278,307423642894.0653,API
2025-05-27,ETH,2562.1729286392238,2562.1729286392238,2562.1729286392238,2562.1729286392238,13350148034.293623,309319360637.78375,API
2025-05-28,ETH,2662.0940568241435,2662.0940568241435,2662.0940568241435,2662.0940568241435,26434151855.253853,321357595434.52185,API
2025-05-29,ETH,2676.2674124507,2676.2674124507,2676.2674124507,2676.2674124507,18008588586.284103,323119009777.13904,API
2025-05-30,ETH,2633.1392065286695,2633.1392065286695,2633.1392065286695,2633.1392065286695,27021441335.5195,317891224562.8813,API
2025-05-31,ETH,2524.4762348050726,2524.4762348050726,2524.4762348050726,2524.4762348050726,22927149330.30469,304659964725.2192,API
2025-06-01,ETH,2532.3627853090866,2532.3627853090866,2532.3627853090866,2532.3627853090866,13006751258.18768,305718505778.76434,API
2025-06-02,ETH,2538.3300584367485,2538.3300584367485,2538.3300584367485,2538.3300584367485,11338340571.11249,306561765778.2403,API
2025-06-03,ETH,2609.737253959435,2609.737253959435,2609.737253959435,2609.737253959435,15623967732.418657,314999579353.95825,API
2025-06-04,ETH,2595.4689570062997,2595.4689570062997,2595.4689570062997,2595.4689570062997,15955008730.338179,313315832347.0171,API
2025-06-05,ETH,2610.343189828259,2610.343189828259,2610.343189828259,2610.343189828259,16809606446.176416,315159803382.89014,API
2025-06-06,ETH,2421.601103763502,2421.601103763502,2421.601103763502,2421.601103763502,25849573159.64817,292341916400.9464,API
