date,coin,open,high,low,close,volume,market_cap,source
2025-06-02,BNB,661.3452261434389,661.3452261434389,661.3452261434389,661.3452261434389,513744446.15491945,96509769841.11876,API
2025-06-03,BNB,666.0561104906627,666.0561104906627,666.0561104906627,666.0561104906627,550346321.1131796,97164288190.66109,API
2025-06-04,BNB,661.17332497159,661.17332497159,661.17332497159,661.17332497159,717080413.430261,96448470573.61153,API
2025-06-05,BNB,663.70338541173,663.70338541173,663.70338541173,663.70338541173,585654885.1918986,96818655325.17992,API
2025-06-06,BNB,634.1479715861758,634.1479715861758,634.1479715861758,634.1479715861758,1050942219.4544812,92528733228.30528,API
2025-06-07,BNB,643.7566841456504,643.7566841456504,643.7566841456504,643.7566841456504,828491539.5454317,93918845142.08775,API
2025-06-08,BNB,650.7937997932994,650.7937997932994,650.7937997932994,650.7937997932994,464282809.21614456,94946550697.756,API
2025-06-09,BNB,652.274428548494,652.274428548494,652.274428548494,652.274428548494,277471527.06296444,95162483374.16092,API
2025-06-10,BNB,666.3374143222443,666.3374143222443,666.3374143222443,666.3374143222443,720838499.864964,97228659760.41823,API
2025-06-11,BNB,673.4760595844963,673.4760595844963,673.4760595844963,673.4760595844963,915030301.0453427,98246414096.53857,API
2025-06-12,BNB,667.7388930109494,667.7388930109494,667.7388930109494,667.7388930109494,926482996.0464325,97396778654.55505,API
2025-06-13,BNB,656.4804964003403,656.4804964003403,656.4804964003403,656.4804964003403,833602957.1016513,95779026195.60716,API
2025-06-14,BNB,654.9095462616511,654.9095462616511,654.9095462616511,654.9095462616511,1091022440.7624466,95536361449.31184,API
2025-06-15,BNB,645.8086677048335,645.8086677048335,645.8086677048335,645.8086677048335,465113546.69991523,94233719227.42334,API
2025-06-16,BNB,648.2042600997396,648.2042600997396,648.2042600997396,648.2042600997396,342983199.2537816,94569766054.11093,API
2025-06-17,BNB,651.4813571171453,651.4813571171453,651.4813571171453,651.4813571171453,677081516.7980691,95211381338.87088,API
2025-06-18,BNB,648.799470473488,648.799470473488,648.799470473488,648.799470473488,919084069.2175109,94651882459.78012,API
2025-06-19,BNB,643.7728727892951,643.7728727892951,643.7728727892951,643.7728727892951,805534251.3963257,93914603189.19572,API
2025-06-20,BNB,644.3626647131019,644.3626647131019,644.3626647131019,644.3626647131019,530108876.6028053,94038287566.09367,API
2025-06-21,BNB,641.4660754156638,641.4660754156638,641.4660754156638,641.4660754156638,566416175.4191926,93579216011.8553,API
2025-06-22,BNB,626.5687672231079,626.5687672231079,626.5687672231079,626.5687672231079,506048055.8076519,91275068281.2763,API
2025-06-23,BNB,615.9200839908369,615.9200839908369,615.9200839908369,615.9200839908369,1152325722.5588028,89858565946.78096,API
2025-06-24,BNB,640.2543180324582,640.2543180324582,640.2543180324582,640.2543180324582,1018106255.6202904,93384461253.8329,API
2025-06-25,BNB,643.4133640920619,643.4133640920619,643.4133640920619,643.4133640920619,541068316.461594,93854693466.93323,API
2025-06-26,BNB,645.8665732235779,645.8665732235779,645.8665732235779,645.8665732235779,827204901.7289867,94213865677.2479,API
2025-06-27,BNB,642.4572030728536,642.4572030728536,642.4572030728536,642.4572030728536,624553271.4953628,93722988687.98412,API
2025-06-28,BNB,645.9995550778237,645.9995550778237,645.9995550778237,645.9995550778237,506712411.6691133,94241465985.32014,API
2025-06-29,BNB,648.766805209224,648.766805209224,648.766805209224,648.766805209224,346225669.1301844,94647807214.77576,API
2025-06-30,BNB,655.0764136195659,655.0764136195659,655.0764136195659,655.0764136195659,422629715.33849674,95568417529.12051,API
2025-07-01,BNB,657.0109566115938,657.0109566115938,657.0109566115938,657.0109566115938,695153815.9147367,95851253503.23659,API
2025-07-02,BNB,646.1777891600059,646.1777891600059,646.1777891600059,646.1777891600059,581547247.9770566,94270479419.54607,API
2025-07-03,BNB,660.0254823640146,660.0254823640146,660.0254823640146,660.0254823640146,758146950.3828626,96288135477.05896,API
2025-07-04,BNB,663.0154690088326,663.0154690088326,663.0154690088326,663.0154690088326,713062571.7212918,96722558238.7678,API
2025-07-05,BNB,653.1616270479346,653.1616270479346,653.1616270479346,653.1616270479346,635866546.3146216,95281695660.61313,API
2025-07-06,BNB,655.9253698398683,655.9253698398683,655.9253698398683,655.9253698398683,367646275.07166517,95693799964.02425,API
2025-07-07,BNB,663.0185149322261,663.0185149322261,663.0185149322261,663.0185149322261,562060051.2427313,96725240650.71089,API
2025-07-08,BNB,661.2876967099644,661.2876967099644,661.2876967099644,661.2876967099644,646920102.0613401,96456273360.42487,API
2025-07-09,BNB,660.7042150664093,660.7042150664093,660.7042150664093,660.7042150664093,659569899.7140087,96371665854.3558,API
2025-07-10,BNB,669.2613994307441,669.2613994307441,669.2613994307441,669.2613994307441,641678068.1682327,97575907951.41354,API
2025-07-11,BNB,685.1054482111715,685.1054482111715,685.1054482111715,685.1054482111715,1137433259.720816,99945907459.49225,API
2025-07-12,BNB,689.8418420972016,689.8418420972016,689.8418420972016,689.8418420972016,1909585413.5492668,100618288747.50497,API
2025-07-13,BNB,685.4703165458919,685.4703165458919,685.4703165458919,685.4703165458919,1045215775.1037439,100001602756.8841,API
2025-07-14,BNB,692.0429275667424,692.0429275667424,692.0429275667424,692.0429275667424,827022284.8266991,100931809897.69768,API
2025-07-15,BNB,689.3152771073793,689.3152771073793,689.3152771073793,689.3152771073793,1871816396.541036,100564286673.74365,API
2025-07-16,BNB,689.863427315096,689.863427315096,689.863427315096,689.863427315096,1508842031.6879208,100743249710.19092,API
2025-07-17,BNB,708.5580809732663,708.5580809732663,708.5580809732663,708.5580809732663,1723439341.1205275,103380492819.6281,API
2025-07-18,BNB,722.3981283678474,722.3981283678474,722.3981283678474,722.3981283678474,2159930031.483713,105397429062.45035,API
2025-07-19,BNB,729.5149107763856,729.5149107763856,729.5149107763856,729.5149107763856,3421946485.4001713,106427658192.56117,API
2025-07-20,BNB,732.9272514055848,732.9272514055848,732.9272514055848,732.9272514055848,1435654835.547203,106924979937.98863,API
2025-07-21,BNB,758.1392224608369,758.1392224608369,758.1392224608369,758.1392224608369,1798602738.0495224,110586719333.9134,API
2025-07-22,BNB,766.3958790528078,766.3958790528078,766.3958790528078,766.3958790528078,2452658270.4492984,111807161492.59859,API
2025-07-23,BNB,786.4807204757146,786.4807204757146,786.4807204757146,786.4807204757146,2644910595.3765583,109558550761.51875,API
2025-07-24,BNB,776.2226902262614,776.2226902262614,776.2226902262614,776.2226902262614,4430495787.544528,108115424622.89601,API
2025-07-25,BNB,771.2312622168195,771.2312622168195,771.2312622168195,771.2312622168195,2578577950.386883,107448286648.29321,API
2025-07-26,BNB,784.7856013546323,784.7856013546323,784.7856013546323,784.7856013546323,2074059703.484386,109286453608.45149,API
2025-07-27,BNB,794.2867236239222,794.2867236239222,794.2867236239222,794.2867236239222,892831867.5658532,110707645996.55731,API
2025-07-28,BNB,843.449638843771,843.449638843771,843.449638843771,843.449638843771,2256704380.679607,117523608100.6293,API
2025-07-29,BNB,822.2765976915088,822.2765976915088,822.2765976915088,822.2765976915088,3011452631.6826835,114557221095.58499,API
2025-07-30,BNB,805.1438193193468,805.1438193193468,805.1438193193468,805.1438193193468,2130673065.5019739,112111480479.16483,API
2025-07-31,BNB,793.8734614175534,793.8734614175534,793.8734614175534,793.8734614175534,1929266771.61827,110456100095.04463,API
2025-08-01,BNB,783.0023910772859,783.0023910772859,783.0023910772859,783.0023910772859,1662327372.5984204,109113907270.47136,API
2025-08-02,BNB,756.4574114847068,756.4574114847068,756.4574114847068,756.4574114847068,2187208851.563726,105351071036.10793,API
2025-08-03,BNB,736.6587769385911,736.6587769385911,736.6587769385911,736.6587769385911,937931586.0430179,102623944857.20425,API
2025-08-04,BNB,751.4001548118117,751.4001548118117,751.4001548118117,751.4001548118117,843114690.7269527,104656102854.34668,API
2025-08-05,BNB,768.5544340737234,768.5544340737234,768.5544340737234,768.5544340737234,1043307913.1061739,107042144700.86378,API
2025-08-06,BNB,754.7878000846929,754.7878000846929,754.7878000846929,754.7878000846929,1003756388.5618858,105138094773.98764,API
2025-08-07,BNB,769.8555506826906,769.8555506826906,769.8555506826906,769.8555506826906,990264468.5504694,107234057462.7665,API
2025-08-08,BNB,787.1948285374559,787.1948285374559,787.1948285374559,787.1948285374559,1091813946.3690848,109527291627.29677,API
