date,close,log_return,volatility,volume,ma_7d,ma_30d
2013-05-28,0.0009548194928736054,0.5582366817395656,0.12254388870358267,0.0,0.0008881343032565373,0.0005365524347592022
2013-05-29,0.001006841273448819,0.5959634460084007,0.12746801898801133,0.0,0.0009076151462096566,0.0005295368575605783
2013-05-30,0.0009516508329384446,0.5326212406931895,0.14006262707932543,0.0,0.0009124766674558137,0.0005236899630864989
2013-05-31,0.0009548194928736054,0.5671373113122593,0.09088074618634477,0.0,0.0009027489952798471,0.0005305737183452027
2013-06-01,0.0009595487893880818,0.5680659619737124,0.09096776669003274,0.0,0.0008965418264401403,0.0005443813504847289
2013-06-02,0.0008490734956272923,0.49746523118947894,0.1260946455139328,0.0,0.0008706291512963272,0.0005584480524205271
2013-06-03,0.0008479700091433826,0.5645442721634716,0.1222823814982981,0.0,0.0008532050364705851,0.0005640203969302367
2013-06-04,0.0008353271209484345,0.5572333432341043,0.12222255093784674,0.0,0.0008356488873080038,0.0005671785523769738
2013-06-05,0.0008389529309790003,0.5675424546169545,0.1011966567447837,0.0,0.0008109822685475651,0.0005725376772493115
2013-06-06,0.0007814137179842351,0.5281886632508479,0.10352652335681356,0.0,0.0007859705616495279,0.0005762632726883494
2013-06-07,0.0006789466691859709,0.49632636981897044,0.12525391843645584,0.0,0.0007454385647987529,0.0005750791054227778
2013-06-08,0.0006285014009629203,0.5298233986536982,0.11512793369808501,0.0,0.000696800168577823,0.0005725743617493607
2013-06-09,0.0004976588136198113,0.4682608232734764,0.14372890115111797,0.0,0.000645169353356346,0.0005627158647983094
2013-06-10,0.0005977612141608373,0.6401211752251837,0.22585454243975245,0.0,0.0006084079864529077,0.0005576186783635634
2013-06-11,0.0006379598737208665,0.594059761860828,0.24034627279962825,0.0,0.0005794102456238514,0.0005541223512107443
2013-06-12,0.0006261367527056823,0.5568351246553171,0.23833012888055505,0.0,0.0005481427051961107,0.0005484881035203583
2013-06-13,0.0005607154590341276,0.5176498539833571,0.24106279821464285,0.0,0.0005157171077154906,0.0005441893395522375
2013-06-14,0.0004973261440160514,0.5172807174270088,0.2316011460068631,0.0,0.0004890329187626911,0.0005360267868478375
2013-06-15,0.0004974711908497947,0.5653525947290103,0.230611461225907,0.0,0.00046978159856133944,0.0005252673222488329
2013-06-16,0.0004899344082324394,0.5594110536358667,0.17632357814480795,0.0,0.00046864670759727144,0.0005117949975469976
2013-06-17,0.0005244578398124933,0.5917179339580534,0.12187643846375724,0.0,0.00045787677347138445,0.0004993010675711784
2013-06-18,0.0006143136316904979,0.6315678067986951,0.16371503042491914,0.0,0.00045440260231274657,0.0004909385408308673
2013-06-19,0.0006277131447868388,0.5748287851681846,0.16408878175153252,0.0,0.0004546342101892126,0.00048305747355597986
2013-06-20,0.0006576650754128405,0.5864035456788468,0.14055346586873932,0.0,0.0004688783154737377,0.00047576104062959637
