date,close,log_return,volatility,volume,ma_7d,ma_30d
2015-09-06,0.000206560946287418,0.6060661924009704,0.14055113474885697,4.614429811314141e-06,0.00020502602669356546,0.00020759353070088211
2015-09-07,0.00019476226831649794,0.5989752368671851,0.13625335731314406,4.579464118561673e-06,0.00020097248324174713,0.0002127421856756163
2015-09-08,0.00019374985485063045,0.6402693056012005,0.13652177983464542,3.855979666152626e-06,0.00019700648577983937,0.0002183835330073487
2015-09-09,0.00018513235730481889,0.6099176332778063,0.12847208448249894,3.132234805740683e-06,0.00019379968357425577,0.00022358162592375547
2015-09-10,0.00017535853486488434,0.604053837870254,0.13327298846441357,6.6363085661618056e-06,0.00019019766645740122,0.0002246034777525802
2015-09-11,0.00013150527360582465,0.44472909388832277,0.27518523974682624,2.1785165359349883e-05,0.00017961130500673025,0.00022215648221796417
2015-09-12,0.0001448830305909935,0.7087809011013753,0.2819906436727179,7.93418205259463e-06,0.000168711168889743,0.00021392270509867873
2015-09-13,0.00012023561027007084,0.5224088717240506,0.30352149159665665,6.415624620434992e-06,0.00015564033867850963,0.00020461461120571033
2015-09-14,0.0001057497181277843,0.5662298170061836,0.3053704478110936,7.563159832105093e-06,0.00014216262768585548,0.00019612672195893878
2015-09-15,0.0001222525152094317,0.732701681288417,0.3725233362670823,7.116974392597893e-06,0.00013133695784059478,0.0001896390983142365
2015-09-16,0.00011331953933192565,0.5971813135165711,0.37232794042778344,6.0777452366776505e-06,0.00012046352028426404,0.00018654531381469936
2015-09-17,0.00010541600777392909,0.600964717024982,0.3722790921782319,9.419809709115352e-06,0.00010987327021020978,0.00018432419890621765
2015-09-18,0.000100486869760675,0.6164157031168348,0.28290489451232204,4.527477211801741e-06,0.00010517666190506579,0.00018009553393054031
2015-09-19,0.00010737365506636117,0.6829239456831442,0.2637741042009998,3.371810168404848e-06,9.94972321868503e-05,0.00017401588823247148
2015-09-20,0.00012082145161587774,0.7162814799459907,0.24657607677920215,4.807912957465743e-06,9.958593653617624e-05,0.00016924796133290524
2015-09-21,0.00011616772438444013,0.6198026461974894,0.21561308317979977,3.8103727554636425e-06,0.00010116336440616969,0.00016444519714759977
2015-09-22,0.00011202906965357523,0.6220696938750011,0.16566615713986016,4.566443718416881e-06,9.961539567300963e-05,0.00015974042301486778
2015-09-23,0.00011001624010740325,0.6333016246362976,0.15269578894636188,1.1648878540448862e-06,9.911523123354597e-05,0.0001562142585436322
2015-09-24,9.087255964011545e-05,0.534791132648135,0.2093667960818664,8.763640725454878e-06,9.691315534235271e-05,0.00015280586104344124
2015-09-25,7.230679852626034e-05,0.5273183569986113,0.2569532925409078,9.485112934205183e-06,9.264630920610974e-05,0.00014838326133591654
2015-09-26,8.424006456978972e-05,0.7207137684081826,0.28634174939292567,3.1662298868459933e-06,8.914356890404908e-05,0.00014460795384969952
2015-09-27,6.861606525591568e-05,0.5430553792068245,0.25754420456094645,3.6891883402978454e-06,8.123896322622377e-05,0.00013969708720660342
2015-09-28,3.552004026270356e-05,0.39574584933682233,0.3690885145199095,1.4426153564787721e-05,6.902780674867968e-05,0.0001334386106890071
2015-09-29,5.429523368759111e-05,0.791608509621134,0.5026543951962371,9.609812857410073e-06,6.028611859350199e-05,0.00012657000765197958
2015-09-30,7.288762070361353e-05,0.7738960638490819,0.5727758846716287,6.129033776520724e-06,5.4664340531648646e-05,0.00012010350771199943
2015-10-01,6.12691180105174e-05,0.5649094893847008,0.5638715634653289,5.846822521746069e-06,5.018197675456617e-05,0.00011320076722042552
2015-10-02,5.8476358305371634e-05,0.6243383609267196,0.540933950669999,1.3871460845164789e-06,4.8087859960887835e-05,0.00010676954312706534
2015-10-03,6.053883615032173e-05,0.6589628717552891,0.5226136631180734,7.243840436917782e-07,4.449917155536259e-05,0.00010073968062072414
2015-10-04,5.603049320853772e-05,0.6118004114213176,0.5048384219696738,1.620447981656326e-08,4.259354473788382e-05,9.441475373171346e-05
2015-10-05,4.649750505662773e-05,0.5725376892075551,0.3646902539778506,1.564045975574579e-06,4.425568224108848e-05,8.700299708729319e-05
2015-10-06,5.1775968614481806e-05,0.684477149568594,0.28009885498550885,1.9003392378597373e-06,4.387423123786174e-05,8.026943409929178e-05
2015-10-07,4.1878082626102786e-05,0.5676045562568751,0.16826284832978974,1.3754158876587618e-06,3.917896533054492e-05,7.361856067673758e-05
2015-10-08,4.483567411120697e-05,0.6676645256201287,0.1641692183173294,2.463672768487848e-06,3.6690718369646324e-05,6.714039315111175e-05
2015-10-09,5.1771878921667695e-05,0.6974077478187085,0.19337360464474163,3.3650869072391744e-06,3.567556898567521e-05,6.13388535262496e-05
2015-10-10,4.6308950198422526e-05,0.6025617431470301,0.19557372854186347,4.666866513715437e-07,3.352097067440871e-05,5.572484937680836e-05
2015-10-11,4.8013722918391344e-05,0.65740079521317,0.19634329330566178,0.0,3.230712259527809e-05,5.209274228236101e-05
2015-10-12,4.58706380860529e-05,0.6276619466789053,0.16810715636888857,8.805341516100418e-08,3.2212206408264716e-05,4.778543680899981e-05
2015-10-13,4.146232102271159e-05,0.6093867815020668,0.15845165552101606,2.3781879231735887e-06,3.065057985979192e-05,4.435858678199044e-05
2015-10-14,2.1145241908783154e-05,0.4686668141100624,0.2649636408642724,1.0292460600274093e-05,2.7511345733229427e-05,4.0678064432520076e-05
2015-10-15,3.048006585433733e-05,0.7281846452163468,0.30690095174165066,3.1828249786669004e-06,2.5337711354710303e-05,3.6685715965723454e-05
2015-10-16,2.439047035527044e-05,0.5901596274916345,0.285868892597095,1.7490303514498547e-06,2.1191793611119116e-05,3.281706219569207e-05
2015-10-17,2.695340648381419e-05,0.6673003157579692,0.2950215916710345,2.5062139667791033e-06,1.8261100987010333e-05,2.9403727930749372e-05
2015-10-18,1.988956321860298e-05,0.5795322505394856,0.29434041470576544,3.735907903362837e-07,1.4002720617709783e-05,2.5897528243780708e-05
2015-10-19,1.2999410351176503e-05,0.5774758511885197,0.29680662390528845,1.6762463146404698e-06,9.025569570524577e-06,2.179199467851754e-05
2015-10-20,0.0,0.5068586936954613,0.32578274592780204,3.3355069254556886e-06,2.747610129479267e-06,1.65359364551133e-05
2015-10-21,2.9988530536883304e-06,0.6773892279724831,0.28117275913622997,6.000711814730102e-06,0.0,1.1612786063885922e-05
2015-10-22,3.187728223498582e-05,0.922997411165932,0.5711059763682798,9.73800461519925e-06,2.1155756724935775e-07,8.125967657487444e-06
2015-10-23,2.514906547340987e-05,0.58497132371382,0.5725554870659746,9.193515154598873e-06,3.2641918778537763e-07,4.434017220157448e-06
2015-10-24,3.089077969002443e-05,0.6949964776585739,0.5761540566353489,1.849228248927728e-06,9.225910537864963e-07,1.8246484073789653e-06
2015-10-25,4.3473706306735926e-05,0.7483267565482847,0.5750047911279658,6.31200590873726e-06,4.4935511473617165e-06,5.703313184863754e-07
2015-10-26,7.112981067368846e-05,0.8448963675153692,0.6004848207828513,1.168275525428013e-05,1.329528454083374e-05,0.0
2015-10-27,0.00010431483653429549,0.8468811773270514,0.5063758721812609,2.0646117081228707e-05,2.908996985289956e-05,1.5529926005167964e-06
2015-10-28,0.00013618396798290356,0.8105223248414641,0.4821221427854916,2.688028467055492e-05,4.9256008054633855e-05,5.932144299306631e-06
2015-10-29,0.00018516836376113323,0.8610890935266698,0.42304193780496896,2.5769881272752287e-05,7.24663631133384e-05,1.1625477580325518e-05
